parameter,value,units,description,source,confidence,original_name,original_value,original_units,module,original_classification
CI_max,0.74,—,Max CI repair target (PINK1/Parkin impairment),Calibration (Section 2.2),Unverified source classification: Calibrated,CI_max,0.74,—,Disease,Calibrated
alpha_clear,0.25,—,aSyn clearance capacity (GBA/aging),Calibration (Section 2.2),Unverified source classification: Calibrated,α_clear,0.25,—,Disease,Calibrated
k_a,1.5,h⁻¹,SC absorption rate,[75],Unverified source classification: Estimated,k_a,1.5,h⁻¹,M0,Estimated
ke_plasma,0.231,h⁻¹,Plasma elimination (t½ = 3.0 h),[76],Unverified source classification: Literature-derived,"k_e,plasma",0.231,h⁻¹,M0,Literature-derived
k_mito_in,0.5,h⁻¹,Mitochondrial uptake,[43],Unverified source classification: Assumed,k_mito_in,0.50,h⁻¹,M0,Assumed
C_ref,4.43,—,Reference mitochondrial concentration,5 mg/kg SS,Unverified source classification: Estimated,C_ref,4.43,—,M0,Estimated
k_12,0.3,h⁻¹,Central→peripheral distribution,Standard two-compartment PK assumption,Unverified source classification: Assumed,k_12,0.30,h⁻¹,M0,Assumed
k_21,0.2,h⁻¹,Peripheral→central redistribution,Moderate tissue binding assumption,Unverified source classification: Assumed,k_21,0.20,h⁻¹,M0,Assumed
k_brain_in,0.04,h⁻¹,BBB penetration (plasma→brain),[76],Unverified source classification: Estimated,k_brain_in,0.040,h⁻¹,M0,Estimated
k_brain_out,0.016,h⁻¹,Brain efflux,[76],Unverified source classification: Literature-derived,k_brain_out,0.016,h⁻¹,M0,Literature-derived
k_mito_out,0.02,h⁻¹,Mitochondrial efflux,Slow CL dissociation; consistent with poster trough kinetics,Unverified source classification: Assumed,k_mito_out,0.020,h⁻¹,M0,Assumed
Dose_norm,,—,Normalised dose input,—,Unverified source classification: Assumed,Dose_norm,dose/5.0,—,M0,Assumed
k_ox,0.02,h⁻¹,ROS-driven CL oxidation,[14],Unverified source classification: Literature-derived,k_ox,0.020,h⁻¹,M1,Literature-derived
k_drug,0.1,h⁻¹,Drug-mediated CL_ox reduction,[77],Unverified source classification: Estimated,k_drug,0.100,h⁻¹,M1,Estimated
